filename,similarity
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0726.jpg,233.11
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0747.jpg,233.16
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0644.jpg,237.82
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0683.jpg,237.86
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0112.jpg,238.09
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0925.jpg,239.01
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0062.jpg,239.3
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0105.jpg,240.14
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1183.jpg,241.76
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0509.jpg,244.13
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0797.jpg,245.71
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1296.jpg,246.58
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0963.jpg,246.77
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0552.jpg,247.26
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1292.jpg,248.22
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0336.jpg,248.61
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0941.jpg,249.09
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0571.jpg,251.65
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0877.jpg,252.24
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1097.jpg,252.94
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0499.jpg,253.31
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0996.jpg,254.56
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0808.jpg,255.31
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0967.jpg,256.22
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0685.jpg,256.33
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0774.jpg,257.11
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0176.jpg,257.36
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1014.jpg,258.06
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0742.jpg,258.53
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1213.jpg,258.81
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0243.jpg,259.12
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0186.jpg,259.74
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0447.jpg,260.62
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0400.jpg,260.62
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1199.jpg,261.37
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0101.jpg,261.4
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1203.jpg,262.78
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1031.jpg,262.88
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0001.jpg,263.4
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0861.jpg,263.44
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0421.jpg,264.74
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0987.jpg,265.06
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0810.jpg,265.08
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0530.jpg,266.22
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0297.jpg,267.25
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0154.jpg,270.21
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0798.jpg,270.36
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0886.jpg,270.51
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0924.jpg,271.4
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0931.jpg,273.91
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0528.jpg,277.9
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0676.jpg,279.71
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0265.jpg,282.62
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0203.jpg,283.03
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0619.jpg,284.25
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0588.jpg,284.58
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0065.jpg,285.36
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0246.jpg,285.77
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_0482.jpg,287.09
/Users/wibe/Desktop/CogSci/Visual_analytics/cds-visual/data/flowers/image_1164.jpg,287.47
